"","50 Years and Over","n_per_day_date","n_per_day_age_date","date_"
"620",TRUE,4706,680,2021-12-01
"621",TRUE,5716,761,2022-12-07
"622",TRUE,4770,682,2021-12-08
"623",TRUE,5664,746,2022-12-14
"624",TRUE,4780,689,2021-12-15
"625",TRUE,5596,724,2022-12-21
"626",TRUE,4780,670,2021-12-22
"627",TRUE,5518,717,2022-12-28
"628",TRUE,4724,651,2021-12-29
"629",TRUE,4241,668,2021-02-03
"630",TRUE,4299,667,2021-02-10
"631",TRUE,5076,675,2022-02-16
"632",TRUE,4378,675,2021-02-17
"633",TRUE,5151,682,2022-02-23
"634",TRUE,4426,673,2021-02-24
"635",TRUE,4772,654,2022-01-05
"636",TRUE,3939,600,2021-01-06
"637",TRUE,4809,668,2022-01-12
"638",TRUE,4042,614,2021-01-13
"639",TRUE,4109,631,2021-01-20
"640",TRUE,4181,649,2021-01-27
"641",TRUE,5300,639,2022-07-06
"642",TRUE,5024,752,2021-07-07
"643",TRUE,5338,658,2022-07-13
"644",TRUE,5008,753,2021-07-14
"645",TRUE,5337,659,2022-07-20
"646",TRUE,5085,759,2021-07-21
"647",TRUE,5374,666,2022-07-27
"648",TRUE,5072,769,2021-07-28
"649",TRUE,5128,629,2022-06-01
"650",TRUE,4828,739,2021-06-02
"651",TRUE,5140,636,2022-06-08
"652",TRUE,4839,742,2021-06-09
"653",TRUE,5233,645,2022-06-15
"654",TRUE,4893,745,2021-06-16
"655",TRUE,5212,650,2022-06-22
"656",TRUE,4971,748,2021-06-23
"657",TRUE,5300,659,2022-06-29
"658",TRUE,4980,751,2021-06-30
"659",TRUE,5146,696,2022-03-02
"660",TRUE,4496,672,2021-03-03
"661",TRUE,5157,702,2022-03-09
"662",TRUE,4545,683,2021-03-10
"663",TRUE,5131,698,2022-03-16
"664",TRUE,4622,677,2021-03-17
"665",TRUE,5087,692,2022-03-23
"666",TRUE,4677,691,2021-03-24
"667",TRUE,5022,673,2022-03-30
"668",TRUE,4724,710,2021-03-31
"669",TRUE,5020,661,2022-05-04
"670",TRUE,4694,706,2021-05-05
"671",TRUE,5037,653,2022-05-11
"672",TRUE,4699,698,2021-05-12
"673",TRUE,5104,661,2022-05-18
"674",TRUE,4707,707,2021-05-19
"675",TRUE,5101,644,2022-05-25
